Short Title:,Full Title:,Author,Author Org,Full Abstract Text:,Status:,Classification:,Presenter Type:,Track,Session Category:,Presentation Req:,Seheduling Req:,Objectives:,Comments:,Bio,Topic1:
ROV Repair in less than 60 Minutes,ROV Repair and Return to Work in 60 Minutes or Less,"Porterfield, Andy",Schilling Robotics,"In response to the complexity of the missions they are asked to perform, ROVs continue to become more powerful and complicated in design.  When a component fails, repair tasks can take multiple hours and have a significant economic impact on ROV operators and their customers.  In all instances of major ROV subsystem repairs, the component that needs to be replaced or repaired is located in the second or third tier of the design; gaining access to and repairing the failed component can require multiple hours of work.  For example, a HPU replacement on a conventional ROV can typically take 8 hours.  With an average pipelay vessel day rate of $180,000, the vessel downtime cost of such a task can easily mount to $60,000 or more.

An assessment of this issue showed that it was not feasible to achieve step-change improvements in repair tasks without revisiting the overall system design philosophy and placing a significant focus on the primary challenges of time to repair and ability to perform the repair correctly the first time.  As a result, Schilling Robotics has invested in developing ROV technology that can be repaired within 60 minutes, providing a significant increase in ROV system uptime and customer profitability.

This presentation will review features important in reducing downtime including: modular subsystem design, component accessibility, ease of replacement, and removal of the potential for installation errors during the maintenance process.  Major ROV subsystem examples will be discussed, including the HPU, the electrical power distribution system, and the tether/umbilical terminations.",Accptd pnding mat'l,Invited,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,No special presentation requests.,No special scheduling requests.,,,"Andy Porterfield has been a Mechanical Engineer at Schilling Robotics since 2008, and has prior design and test experience in the Aerospace, Railroad, and Highway Safety industries.",Vehicle components for Work Class ROVs
ROV Training for PSD & Port Security,"Micro ROVs in Public Safety Diving and Port Security:
The Need for Standards and Training","Feulner, Mark",Florida State University Panama City,"Florida State University Panama City (FSUPC) completed an evaluation study in 2010 that examined the techniques and tools available for the execution of the search and inspection activities that public safety divers are routinely called upon to perform.  The test teams were drawn from major ports across the country and were selected for their experience and skill in conducting port security operations as well as routine public safety dive functions.  The teams included Seattle Police Department Harbor Patrol, NYPD Scuba Team, Jacksonville Sheriff Office Dive Team, and the FBI’s USERT team out of Los Angeles. A team from FSUPC’s Underwater Crime Scene Investigation was utilized to augment the dataset.  The findings indicated that traditional and technology-augmented search techniques were all very successful methods, particularly in the specific contexts for which they were developed.  However, broader implications to ROV training and use were suggested by the results.  While these observations were beyond the scope of the study, they provide valuable insights that are shared in this paper.",Submitted for Review,Invited,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,,,,,"Mark Feulner has been researcher for Underwater Crime Scene Investigation (UCSI) at FSUPC for eight years, and is co-author of the UCSI Protocols Manual.  He has Master's degrees in Nautical Archaeology and Criminology and currently holds a faculty position in Public Safety and Security at Florida State.  Mr. Feulner has assisted law enforcement agencies and private institutions in numerous underwater investigations, and has trained public safety divers and military personnel in the use of various marine technologies for underwater work.",Public Safety use of small ROVS
ROV's for Disaster Recovery,The Use of Remotely Operated Vehicles for Disaster Recovery in the Tsunami stricken areas of Minamisanriku and Rikuzentakata Japan.,"Steimle, Eric",AEOS,"Remotely Operated Vehicles were used during two trips to the Tsunami damaged areas in the Iwate Prefecture of Japan. In April 2011 four ROV’s were used to inspect infrastructure and to assist with victim search and recovery.  The ROV’s successfully allowed a fishing port to be reopened and were used to search for victims in debris to dangerous for manual search with divers. During this trip a SeaBotix SARbot, a SeaBotix LBV-300-5, a SeaMor ROV and an AC-ROV were used. A second trip in October 2011 saw a return to the city of Minamisanriku Cho. The city had requested an expanded search for debris in the ports and open areas of the bay where fishing nets were to be redeployed. Based on lessons learned in April a SeaBotix SARbot was chosen.  This paper will present data and lessons learned from the two trips.",,Contributed,MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,,,,,,Inshore use of small ROVs
ROVs in education,An educational outreach program for STEM based education,"Gleason, PhD, Mark",Great Lakes Naval Memorial and Museum,"The Great Lakes Naval Memorial and Museum (GLNMM) has developed a program that utilizes ROV kits and a professional build ROV to promote STEM based education for all ages. These programs utilize underwater technology to provide educational activities that promote a greater understanding of the underwater environment through direct interaction. The technology used in these programs are small underwater robots referred to as remotely operated vehicles or ROVs. These ROVs can be created, designed and build by students or other program participants such as teachers. GLNMM has created a traveling educational outreach program that includes classes of different lengths and levels for people of all ages and backgrounds. These classes can be offered at locations throughout the region and include two separate experiences. The first experience is creating and building a ROV that the participants can use to explore the underwater environment. The second part is the opportunity to drive a professionally build ROV to explore underwater to depths of several hundred feet. Most dives are in only in depths of fifty feet or less. This technology allows the participants an experience similar to being a SCUBA diver.",Accptd pnding mat'l,Contributed,MTS Member,Education and Academic Presentations,Presentation,,,Presentation is design to help participants to understand one of the many successful approaches to the use of ROVs in education,,"Dr. Mark Gleason has nearly ten years of diverse experience in the operation of ROVs in education, research and industry. His Ph.D. dissertation research demonstrated the usefulness of small ROVs in natural resources education programs. Those programs and their development led to positions creating educational programs at museums. Those efforts resulted in unique underwater experiences for thousands of students and the general public. Other professional work includes several years operating ROVs in the oil/gas industry in the middle-east.
His recent work includes developing partnerships between government agencies, non-profits and industry to explore shipwrecks. Those partnerships have used ROVs and side scan sonar to explore approximately thirty Great Lakes shipwrecks. In addition he is creating a marine tech program with a Michigan college that will provide ROV training for college students.",Marine Technology Education & Outreach
SENSE IT,SENSE IT - Student created water quality sensors,"Hotaling, Liesl",University of South Florida,"The SENSE IT project provides high school students the opportunity to build, calibrate and test a set of sensors and circuits, to measure a variety of physical quantities. To build and understand their sensors, student use a wide range of core knowledge of mathematics and physical science, as well as learning practical technology skills such as soldering and debugging circuits. Then students interface their sensors with computers, write programs to gather raw signals from the sensors, implement calibration curves, and perform data manipulation and data logging. Students then program their own communications protocols for wireless data transmission and connect their computerized sensor stations together to form a distributed wireless sensor network.

SENSE IT promotes student awareness of the interdisciplinary nature of modern engineering and the interdependence of diverse areas of science and math. The theme of environmental stewardship and sensor systems provides: 1) a motivating and meaningful scenario for learning a wide range of core math, science and technology topics, 2) an engaging link between biological, physical and social sciences and 3) a cutting-edge example of science and engineering research, delivered directly into the classroom in a particular area of growing importance and workforce need.",Accptd pnding mat'l,Invited,MTS Member,Education and Academic Presentations,Presentation,Standard audio visual set-up,None,"This paper will provide an overview of the educational modules and describe a variety of sensors which are suitably simple for design and construction from first principles by high school students while being accurate enough for students to make meaningful environmental measurements. The paper also describes how the sensor building activities can be tied to core curricula, enabling the modules to be utilized in standard classes by mathematics science and engineering teachers without disrupting the semester teaching goals.

The SENSE IT project provides students with the opportunity to learn about science, engineering and mathematics through the design, construction, programming and testing of a student-implemented water monitoring network. The objectives are to:
1) Use environmental sensors as an engaging context to teach technology, engineering, mathematics, science, and critical workforce skills;
2) Encourage learners to look at a local problem and data with a global perspective.
3) Promote awareness of sensor network related careers and opportunities among high school teachers, students, parents and guidance counselors;
4) Emphasize that mathematics is the language of STEM disciplines and a key to enter STEM careers.",,"Liesl Hotaling is a Senior Research Engineering with the College of Marine Sciences, University of South Florida. She holds a B.S. in Marine Science, a M.A.T. in Science Teaching, and a M.S. in Maritime Systems (ocean engineering). She is a partner in Centers for Ocean Science Education Excellence - Networked Ocean World (COSEE-NOW), serves as the Partnerships and Collaborations Coordinator for the COSEE Network and specializes in real time data education projects and hands-on STEM educational projects supporting environmental observing networks.",Marine Technology Education & Outreach
Shipwreck as Educational Model,Educating the next generation of scientists with real world scenarios:  Modeling a shipwreck for the MATE Center ROV competition,"Gardner, Matthew",MATE Center,"In an effort to provide realistic educational experiences for students, the MATE Center works closely with marine industry professionals to develop ROV competition mission tasks that model real world scenarios.  The goal of the MATE Center missions is to present challenges students might experience in the field and familiarize them with another aspect of the underwater industry.

The 2012 mission theme deals with 20th century shipwrecks and their potential environmental threats.    Working with the Professional Marine Explorers Society, the MATE Center is developing tasks that include surveying the wreck and removing fuel from a corroding tank.  Replicating this complex problem involves creating mission props that are designed with inexpensive hardware store technology, allowing teams around the world to copy MATE Center designs.  Underwater missions also take place in a pool environment, with clear, warm water, generally less than 6 meters deep.  Working within these limitations, the MATE Center mission tasks model real world events that students might experience in the underwater industry.",Accptd pnding mat'l,Invited,not MTS Member,Education and Academic Presentations,Presentation,,,,,,Robotics and Engineering Competitions
Student Built Vehicles in Field Research,"Utilizing Student ""Built-for-Competition"" Vehicles in Real World Applications","Bradshaw, Steven",GTSR,"The MATE Center provides an outlet for students of all ages to build and test Remotely Operated Vehicles (ROV). MATE Center goes through great lengths to plan and simulate ‘real-world’ problems as the basis for their competitions. From submarine search and rescue operations to underwater sea mount exploration and, more recently, oil spill containment, the competitions attempt to simulate reality.

Georgia Tech Savannah Robotics’ ROV Beta Mk II is a direct product of the MATE competition. This vehicle was featured in a summer research trip to the Louisiana Gulf Coast to search for remnants of the Deepwater Horizon oil spill. The same system originally developed for competition collected water samples for oil content analysis at the Gulf Coast site.

This year, Beta Mk II is slated to survey recently unearthed Revolutionary War shipwrecks off the coast of Yorktown, VA. For 2012, the MATE ROV Competition again aligns with the real world research plan for the vehicle. This talk will outline the competition influences on design, the differences in real world performance vs. competition, and the future work inspired by the competition.",Accptd pnding mat'l,,not MTS Member,Education and Academic Presentations,Presentation,,,,,,Academic and Industry Partnerships
SubSea Lithium Battery Certification,"Subsea Lithium Battery Certification Considerations at ABS, LR and DNV","Koenig, Matt",Corvus Energy Ltd.,Corvus has obtain class certification for its subsea lithium battery technology from Lloyds Registry and is completing its classification with ABS and DNV. The presentation will review the certification process and . . .,Submitted for Review,,MTS Member,Manned Underwater Vehicles,Presentation,,,,,,New Advanced Technologies for Manned Subs
Through-the-sensor Multibeam control of ROVs,"Multibeam Imaging Sonar-Track, through-the-sensor control for microROVs","Tena, Ioseba",SeeByte,"Multibeam imaging sonars have been available since the early nineties and have served well as a tool to improve situational awareness. Operators can observe targets at distances of tens to hundreds of yards and use the information to navigate underwater vehicles and monitor important subsea regions. The original systems were significant in size and weight and required large electronic pods to beam form and process the raw data. But today’s multibeam imaging sonars are of a size suitable for microROV operation, so much so that they have become a common payload option for many operators. In tandem software solutions enabling close control of unmanned systems using through-the-sensor servoing techniques have evolved to a level of maturity suitable for commercial exploitation. The bringing together of this technology with the microROV will enable a new level of user control to the operational users. A common task such as flying to a target can be a difficult undertaking when faced with currents and tether effects, when time is at a premium this can be frustrating and negatively impact the overall mission needs. This proposed technology enables the microROV to keep station relative to an object or structure identified in the sonar data. The ROV can then maneuver relative to this object and the pilot need only provide simple point-and-click commands on the sonar screen. This talk will illustrate some early results on early prototype work.",,Contributed,not MTS Member,Instruments and Sensors,Presentation,,,,,"Andy Goldstein, VideoRay
Jon Wood, SeeByte",All types of Sonars for Searching or Identifying
Tobin McNatt,Naval Architecture Software Tools for Underwater Vehicle Design,"McNatt, Tobin",DRS Advanced Marine Technology Center,"Traditionally, naval architecture has been more craft than science. Determining what is ‘right’ in a particular situation in the absence of definitive supporting analysis encompasses the art of naval architecture to this day.  With the advent of computers, naval architects began to move their work from ‘the drawing board’ into the computer and its display.  This presentation describes the evolution of computer-based naval architecture tools from the early stages circa 1980 through the present, from the point of view of a team that pioneered tools which gained a diverse user community over that time frame.  This team’s story reflects progress and successes as well as continuing opportunities for advancement. Technical domains such as hull form design, hydrostatics and stability, structures, and weights and moments will be included, with applications to underwater vehicles discussed.  Technology developments related to software architecture and development processes will be highlighted, as well as a view toward future opportunities to further integrate and extend the scope of marine vehicle design tools.",Submitted for Review,Contributed,not MTS Member,Manned Underwater Vehicles,Presentation,,,,,"Tobin McNatt is the Director of the Advanced Marine Technology Center (AMTC) within DRS Defense Solutions, LLC.  The AMTC is a group of naval architects and software developers that provides marine vehicle design software products and technical services to a wide spectrum of industry customers. Tobin served as Program Manager for technology development programs for organizations including NAVSEA, NSWC Carderock Division, Office of Naval Research, US Special Operations Command, DARPA, and several ship classification societies.  He led the ocean engineering design and fielding of the full scale open ocean underwater explosions shock testing programs for the USS Jacksonville (SSN 699) and for the submarine shock test vehicle (SSTV).  He served on the pre-commissioning unit of fast attack submarine USS Birmingham (SSN 695), performing operations including reactor plant initial criticality and power range testing.  He also served on the USS Francis Scott Key (SSBN 657) conducting strategic deterrent patrols.  Tobin is a graduate of the U.S. Naval Academy with a degree in Physics.",New Advanced Technologies for Manned Subs
Triton XLX Capabilities,Triton XLX Generation 2 - Building on Success (withdrawn),"Clapham, Paul","Forum Energy Technologies, Perry Slingsby Systems Ltd.","The capabilities of the Triton XLX Heavy Work Class ROV have been well proven since introduction to the Offshore Industry five years ago.  Reliability, adaptability, load carrying capacity and volume for equipment and tool deployment, are the solid foundations on which the system is based.  Coupled with a state of the art control system, the ROV has become a formidable tool in the contractor's armoury, with over 70 systems built.
New developments in equipment and control such as HD cameras, LED lighting and DVL auto-position have been gradually introduced to meet the ever increasing demands of operators.  The innovative PSS Type 4 and Type 5 TMS have further enhanced the ROV system, providing large tether storage capacity in compact lightweight units.
Building on this success, the new Generation 2 vehicles now offer increasing operator control throughout the water column, with the ROVDP multi-sensor control system which includes full capability for auto waypoint control, remote mission navigation and auto pipe and cable following functions.  Additionally increased vehicle on board power, with true 200 shaft hp systems, that feature enhanced tooling hydraulic capacity, with full flow proportional take offs, add to the vehicle capabilities.  4160V power systems allow optimisation of umbilical to 4000m water depths.  These ROVs are complemented by a wide range of stainless steel TMS and garage options, from small systems carrying 450m of tether, up to the most recent Type 6 TMS development that gives large excursions up to 1500m.
The these innovative features and the benefits to the operator that they bring, are presented.",Rejected,Invited,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,,,"To highlight the current range of Work Class ROV systems now available from Forum Subsea Solution, Perry Slingsby Systems.",,"Have worked in ROV and underwater Tooling since 1980's, after leaving the Aerospace industry.
Now Engineering Manager at PSSL since 2008.  Oversee the introduction of the Triton XLR workclass ROV to complement the TXLX.  Responsible for the designs of the PSS type 4 and 5 Tether Managements Systems.
Prior to this have worked at PSSL as Project Engineer for TMRV workclass ROVs and Olympian Trencher and T750 Trencher systems in the 2000's and tooling systems in 1990's.",Vehicle components for Work Class ROVs
U.S. Navy Diving System Certification Survey,U.S. Navy On-Site Diving System Certifcation Survey and System Re-Entry Control Records,"Frey, Michael","U.S. Navy, Naval Sea Systems Command",Provide procedures used to conduct on-site system certification survey of U. S. Navy Diving Life Support Equipment.  Present the detailed checklist and requirements used to inspect the material and operational condition of the system.  Discuss U.S. Navy diving system maintence requirements and the system used to track the completion of required maintenance.  Present the documentation used by maintenance personnel to document re-entry and work completed on a certified system.  Discuss the documentation required for replacing components of a certified diving life support system.,Plan to Accept,Contributed,not MTS Member,Commercial Diving,Extended,,,Provide the commercial industry with a some knowledge of the degree to which the U.S. Navy conducts maintenance and operational inspections of Diver Life Support Systems.  Provide information on how the U.S. Navy documents maintenance and maintains configuration control of systems when replacing components.,,"30 years experience as a U.S. Navy Diver
11 years at NAVSEA Office of Salvage and Diving
Commander, Civil Engineer Corps, USN",Safety Advances & Education
Under Ice Operations Using a Micro-ROV,Under Ice Operations Using a Micro-ROV,"Wrasse, Thomas",,"While underwater operations provide a host of significant anxieties, when a sheet of ice is added to the picture the pressure increases similar to a diver descending down the water column.  Past practice - putting human life in jeopardy by traversing unsafe ice conditions or by placing divers into a confined space is no longer advisable.  Micro-ROV technology allows first responders to locate, inspect, and retrieve rapidly, efficiently, safely, and cost-effectively.  The requirement of cutting large holes for under ice diving creates future public hazards until solid freeze up occurs.   The extremely small hole required of the Micro-ROV minimizes vulnerability and can easily be made safe upon completion of the task.
The Micro-ROV is easily deployed, with minimal risk, into a potential human trap eliminating travel to the unknown.  The Micro-ROV can without difficulty, assess hazards, survey the scene, locate and identify targets, recover evidence and provide a safe lane of travel for a diver.  It doesn’t matter if it is an object that has fallen through or a survey that needs to be done; the employment of Micro-ROV under ice operation is a safe first alternative.
This presentation will show the experiences of several small ROV projects successfully employed in under-ice operations, along with lessons learned from the agencies involved.  Projects include locating vehicles fallen through the ice, drowning victims and ice rescue training.",,,not MTS Member,Observation and Shallow Water Remotely Operated Vehicles,Presentation,,,,,,Public Safety use of small ROVS
USCG Acceptance of non-ASME PVHOs,Case Studies in US Coast Guard Approval of PVHOs Not Constructed As ASME Pressure Vessels.,"Kemper, Bart","Kemper Engineering Services, LLC",The Code of Federal Regulations specifically adopts the ASME Boiler and Pressure Vessel Code and the PVHO as the standards for diving systems in US waters.  Not all diving systems are made to ASME standards.  This presentation examines several case studies of where the US Coast Guard approved non-ASME vessels.,Plan to Accept,Invited,not MTS Member,Commercial Diving,Presentation,,I am also giving a presentation in the manned submersible section.,,,"Bart Kemper, P.E. is the principal engineer for Kemper Engineering Services, LLC.  Based in Baton Rouge, LA, Kemper has 20 years experience in engineering ranging from pressure vessels to mechanisms to computer simulations to shock, blast and ballistics.  His work has ranged from saturation diving systems to down hole tools to aerospace and marine applications.  Past recognitions include being one of the Top 10 Federal Engineers in 2007.  He is a member of the ASME Pressure Vessels for Human Occupancy (PVHO) codes and standards committee, has written numerous professional articles, and has several patents and patents pending.","	Commercial Diving Equipment Improvements and Reviews"
USCG Review of NARCO Subs,Narco Subsea:  Implications for Submersible Owners and Operators,"Thompson, William",US Coast Guard,"This presentation will be divided in two parts.  The first part will be a brief history of the use of semi-submersible vessels for drug trafficking, beginning with the 2006 seizure of the first confirmed semi-submersible and concluding with the seizures of two fully submersible vessels in 2010.  I will provide technical specifications of those seized as well as the drug trafficking organization requirements for a submersible to be a viable method of delivery.

The second part of the presentation will be the implications of the suspected use of submersibles by drug traffickers for the submersible community.  This will include the perception of submersibles by the law enforcement community, the potential of misidentification of a legally operated submersible as a threat, and the necessity of standard operating procedures by legitimate submersible operators to help avoid this misidentification.

I will use examples of both submersible and surface vessel operations, as well as other examples from various transportation sectors.  These examples will clarify how other industries help to separate legitimate from illegitimate operators to ensure both their economic and physical survival.",,Contributed,MTS Member,Manned Underwater Vehicles,Presentation,,,,,,Manned Sub Safety Advances and Regulations
Waterjet Applications Subsea,Waterjet Technology and Applications Deepwater Subsea,"Kivisto, Bruce","Chukar Waterjet, Inc.","Waterjet technology has been developed for application in deepwater (3,000m+) environments. It offers several important advantages over existing technologies and presents new opportunities for continued refinement of subsea maintenance, repair, salvage, and emergency response techniques.

Advances in waterjet intensifier pump technology allow it to be applied subsea as a cutting tool in emergency response situations, or simply as an ultra-high pressure stream of water for coating or marine growth removal in applications such as isolation of welds for inspection. It may also be used as a tool to provide turbulence in a stream of methanol for tasks such as hydrate remediation and is effective at cutting steel up to 250 mm thick. The tool in a waterjet system cannot bind in the cut to jeopardize asset integrity, and it eliminates the hazard of igniting trapped pockets of gas during cutting.

Waterjet technology has been extended into the deepwater subsea space during the past year. Inclusion of an intensifier style subsea waterjet system in the collection of emergency response assets will give another option for cutting, salvage, and conduct of rapid de-mobilization operations.",Accptd pnding mat'l,Contributed,not MTS Member,Work Class Remotely Operated Vehicles,Presentation,,,To inform dive and salvage experts of the advances in waterjet technology and how these advances can be used to advance productivity and increase safety of cutting operations.,,Worked in the waterjet industry for 10 years. Work in the waterjet industry has focused on development of new applications for waterjet equipment and the extension of waterjet technology into the subsea environment. Professionally registered Electrical Engineer from the the University of Minnesota specializing in machine development and control systems.,ROV Tooling for Work Class ROVs
